"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
533,2017-03-15 13:59:08,"S0839","Indeed.com","Yes",8.58274305555004
712,2017-03-19 04:12:58,"L3767","Indeed.com","Yes",12.1756712962963
343,2017-03-12 13:01:36,"M9268","Indeed.com","Yes",5.54278935184909
817,2017-03-20 21:37:12,"A2508","Personal referral","Yes",13.9008333333333
659,2017-03-18 07:05:35,"W8480","Indeed.com","Yes",11.2955555555528
741,2017-03-19 21:48:26,"P5133","Tesoro employee","Yes",12.9086342592648
23,2017-03-08 01:00:09,"B3546","Social media (e.g. Facebook or Twitter)","Yes",1.04177083333333
734,2017-03-19 20:06:08,"A7205","Tesoro website or mailing","Yes",12.8375925925926
791,2017-03-20 16:29:12,"C1453","I am currently an employee or contractor at Tesoro","Yes",13.6869444444444
349,2017-03-12 14:05:17,"L4055","I am currently an employee or contractor at Tesoro","Yes",5.58701388888613
126,2017-03-08 22:40:27,"D7302","Online job site (other than Indeed)","Yes",1.94475694444444
193,2017-03-09 15:50:58,"W7986","Indeed.com","Yes",2.66039351851852
789,2017-03-20 16:07:27,"L8916","Indeed.com","Yes",13.6718518518463
635,2017-03-17 17:43:36,"E7219","Tesoro website or mailing","Yes",10.7386111111111
818,2017-03-20 21:44:57,"W5339","Tesoro employee","Yes",13.9062268518463
417,2017-03-13 18:36:49,"R2874","Personal referral","Yes",6.77557870370094
639,2017-03-17 18:39:51,"J3695","I am currently an employee or contractor at Tesoro","Yes",10.7776736111111
561,2017-03-16 00:10:52,"F9691","Indeed.com","Yes",9.00754629629906
684,2017-03-18 18:32:31,"S0488","Indeed.com","Yes",11.7725810185213
29,2017-03-08 02:28:40,"S9961","Indeed.com","Yes",1.10324074074074
560,2017-03-15 23:57:49,"S0332","Tesoro employee","Yes",8.99848379629906
634,2017-03-17 17:16:00,"O0649","Tesoro employee","Yes",10.7194444444472
56,2017-03-08 12:50:27,"W2023","Personal referral","Yes",1.53503472222774
675,2017-03-18 17:07:53,"S7799","Indeed.com","Yes",11.7138078703731
217,2017-03-09 19:34:00,"D6263","Recruiting organization","Yes",2.81527777778054
495,2017-03-14 22:38:09,"W7470","Personal referral","Yes",7.94315972222222
672,2017-03-18 16:33:35,"B9476","Indeed.com","Yes",11.6899884259259
406,2017-03-13 16:28:27,"I3068","Tesoro website or mailing","Yes",6.68642361111387
563,2017-03-16 01:16:31,"L0449","Personal referral","Yes",9.05314814814539
570,2017-03-16 11:02:38,"M1928","Personal referral","Yes",9.46016203703704
84,2017-03-08 16:58:14,"C1556","Indeed.com","Yes",1.70710648148148
536,2017-03-15 15:00:25,"R7067","Tesoro employee","Yes",8.62530092592317
117,2017-03-08 21:40:48,"N6239","Tesoro employee","Yes",1.90333333333609
289,2017-03-10 23:50:11,"B2275","Tesoro employee","Yes",3.99318287037037
565,2017-03-16 02:17:01,"K3670","Tesoro website or mailing","Yes",9.09515046296296
453,2017-03-14 03:21:15,"F4491","Personal referral","Yes",7.13975694444444
196,2017-03-09 16:11:28,"B9048","Personal referral","Yes",2.67462962963239
761,2017-03-20 02:29:35,"M0116","Indeed.com","Yes",13.1038888888861
509,2017-03-15 00:36:14,"S8624","Newspaper ad","Yes",8.0251620370398
729,2017-03-19 17:36:42,"R8415","Tesoro website or mailing","Yes",12.7338310185158
824,2017-03-20 22:52:36,"G1913","Tesoro website or mailing","Yes",13.9532060185158
45,2017-03-08 11:16:40,"M9684","Tesoro employee","Yes",1.46990740740741
792,2017-03-20 16:38:57,"B0399","Tesoro website or mailing","Yes",13.6937152777833
266,2017-03-10 17:56:04,"H3896","Personal referral","Yes",3.74726851852128
474,2017-03-14 17:52:24,"M9535","Personal referral","Yes",7.74473379629354
642,2017-03-17 20:06:43,"V3546","Tesoro website or mailing","Yes",10.8379976851852
